duration,protocol,src_bytes,dst_bytes,flag,land,wrong_fragment,urgent,count,srv_count,label
0.47,ICMP,421,1346,SF,0,0,0,10,68,BENIGN
3.01,UDP,47,49,S0,0,0,0,33,64,DoS
1.32,TCP,609,275,RSTO,0,0,0,55,95,BENIGN
0.91,UDP,309,321,S0,0,0,0,19,13,BENIGN
0.17,ICMP,78,162,RSTO,0,0,0,66,10,BENIGN
0.17,ICMP,51,193,S0,0,1,0,47,48,Infiltration
0.06,ICMP,296,664,REJ,0,0,0,49,20,BENIGN
2.01,ICMP,693,310,RSTO,0,0,0,67,6,DoS
0.92,UDP,380,206,S0,0,1,0,30,44,BENIGN
1.23,TCP,128,41,RSTO,0,0,0,83,48,BENIGN
0.02,UDP,265,2,SF,0,0,0,85,72,BENIGN
3.5,TCP,111,40,S0,0,1,0,59,99,DoS
1.79,ICMP,2120,938,S0,0,1,0,78,64,Botnet
0.24,TCP,414,433,REJ,0,1,0,31,79,BENIGN
0.2,ICMP,285,1024,RSTO,0,0,0,21,29,BENIGN
0.2,UDP,165,10,S0,0,0,0,17,72,BENIGN
0.36,TCP,288,342,REJ,0,0,0,53,9,BENIGN
0.74,UDP,125,13,REJ,0,0,0,51,93,Botnet
0.57,ICMP,8,457,REJ,0,2,0,24,23,BENIGN
0.34,UDP,150,143,RSTO,0,0,0,40,55,PortScan
0.95,ICMP,799,30,RSTO,0,1,0,98,76,BENIGN
0.15,ICMP,295,251,S0,0,2,0,47,28,BENIGN
0.35,ICMP,26,98,RSTO,0,0,0,20,47,BENIGN
0.46,UDP,648,323,RSTO,0,0,0,16,15,BENIGN
0.61,UDP,93,322,SF,0,1,0,58,99,BENIGN
1.54,TCP,83,366,RSTO,0,0,0,49,93,Infiltration
0.22,TCP,105,1466,SF,0,0,0,42,58,DoS
0.72,UDP,258,146,S0,0,0,0,12,18,Botnet
0.9,UDP,236,187,REJ,0,1,0,41,40,BENIGN
0.05,UDP,202,489,SF,0,0,0,58,18,BENIGN
0.94,UDP,379,259,S0,0,1,0,60,74,Botnet
0.19,ICMP,114,11,SF,0,0,0,24,7,BENIGN
0.07,ICMP,457,555,RSTO,0,0,0,13,2,BENIGN
2.97,ICMP,57,15,S0,0,0,1,34,82,BENIGN
3.37,UDP,457,56,REJ,1,0,0,61,51,BENIGN
1.65,ICMP,327,32,SF,0,0,0,27,35,BENIGN
0.36,ICMP,344,24,RSTO,0,0,0,85,10,BruteForce
0.1,TCP,197,7,S0,0,2,0,67,20,DoS
1.15,TCP,329,16,RSTO,0,0,1,14,57,BENIGN
0.58,ICMP,24,175,S0,0,0,0,41,74,BENIGN
0.13,ICMP,572,87,SF,0,0,0,57,13,PortScan
0.68,ICMP,17,40,S0,1,0,0,30,24,BENIGN
0.03,UDP,48,322,SF,0,0,0,45,42,BENIGN
2.4,TCP,257,76,S0,0,0,0,74,63,BruteForce
0.3,TCP,403,5,RSTO,0,0,0,1,46,DoS
1.09,TCP,23,162,RSTO,0,0,0,92,61,BENIGN
0.37,ICMP,760,111,SF,0,0,0,83,75,BENIGN
0.73,UDP,1090,115,REJ,0,0,0,94,63,BENIGN
0.79,TCP,279,176,SF,0,0,0,84,20,BENIGN
0.2,TCP,196,331,RSTO,0,0,1,52,16,BENIGN
3.49,UDP,405,287,S0,0,0,0,20,35,BENIGN
1.49,ICMP,119,830,REJ,0,0,0,23,77,BENIGN
2.81,ICMP,203,218,RSTO,0,0,0,95,9,BENIGN
2.25,TCP,743,191,REJ,0,0,0,96,95,DoS
0.91,TCP,934,72,SF,0,0,0,90,36,BENIGN
2.55,UDP,785,422,RSTO,0,0,0,78,14,PortScan
0.09,TCP,91,45,SF,0,0,0,6,43,BENIGN
0.22,UDP,79,202,RSTO,0,0,0,33,76,BENIGN
0.05,TCP,106,164,RSTO,0,0,0,8,23,BENIGN
0.39,TCP,174,322,SF,0,0,0,63,49,BENIGN
0.49,TCP,113,748,RSTO,0,0,1,4,96,BENIGN
0.32,ICMP,140,878,REJ,0,0,0,13,1,BENIGN
1.76,UDP,290,55,REJ,0,0,0,35,80,BENIGN
0.44,UDP,431,91,SF,0,0,0,93,50,BENIGN
0.33,ICMP,399,500,S0,0,0,0,89,58,BENIGN
0.78,ICMP,505,219,REJ,0,2,0,34,75,BENIGN
0.15,ICMP,9,181,RSTO,0,0,1,56,29,DoS
1.62,UDP,14,372,SF,0,0,0,11,2,PortScan
0.08,TCP,467,276,S0,0,0,0,38,16,DoS
4.33,ICMP,228,1059,SF,0,0,0,93,80,BENIGN
1.48,ICMP,258,263,REJ,1,0,0,45,27,BENIGN
0.22,ICMP,16,188,RSTO,0,0,0,86,36,PortScan
